title,price_jd,brand,model_name,storage_gb,color_actual,condition,series,phone_age_months
بحالة الجديد مدخل خط او بدون خط مكفول iPhone 17-256GB متوفر لدى سبيد سيل,549.0,Apple,ايفون 17,256.0,أخضر,مستعمل - ممتاز,Apple-iPhone-17,
سامسونج S23 Ultra,349.0,Samsung,جالاكسي S23 الترا,256.0,أسود,مستعمل - ممتاز,Samsung-Galaxy-S23,
الأن جديد هونور 600 فايف جي متوفر بعدة الوان  HONOR 600 5G 8+16 RAM 256G NEW,310.0,Honor,,256.0,برتقالي,جديد,Honor-Other,
متوفر الأن بسعر مميز ايفون 17 برو ماكس // Apple iPhone 17 pro max 256G new,940.0,Apple,ايفون 17 برو ماكس,256.0,أزرق,جديد,Apple-iPhone-17,
Samsung Z fold 7  256   جديد كفالة الوكيل الرسمي BMS,1100.0,Samsung,جالاكس Z فولد7,256.0,أسود,جديد,Samsung-Z,
ايفون 16 برو ماكس متوفر بعدة الوان // iphone 16 pro max 512G new,899.0,Apple,ايفون 16 برو ماكس,512.0,رمادي,جديد,Apple-iPhone-16,
جديد الان ايفون 17 بافضل سعر//IPHONE 17 (256GB) NEW,565.0,Apple,ايفون 17,256.0,أسود,جديد,Apple-iPhone-17,
متوفر الان جديد ايفون 17 برو // IPhone 17 pro 256 sim new,939.0,Apple,ايفون 17 برو,256.0,أبيض,جديد,Apple-iPhone-17,
IPHONE 15 PRO MAX ( 256GB ) USED /// ايفون 15 برو ماكس ذاكرة 256 مستعمل وكاله,469.0,Apple,ايفون 15 برو ماكس,256.0,أبيض,مستعمل - ممتاز,Apple-iPhone-15,
مستعمل وكالة ايفون 15 برو ماكس بافضل سعر//IPHONE 15 PRO MAX (256GB) USED,479.0,Apple,ايفون 15 برو ماكس,256.0,أسود,مستعمل - ممتاز,Apple-iPhone-15,
أقوى كاميرة تصوير بالعالم من شاومي Mi 17 Ultra متوفر الان لدى سبيد سيل,899.0,Xiaomi,,1024.0,أسود,جديد,Xiaomi-Other,
شعارنا المصداقية جديد شاومي Redmi 15 16GB-256GB متوفر لدى سبيد ستور,133.0,Xiaomi,,256.0,أسود,جديد,Xiaomi-Other,
أخر اصدار من أبل iPad Pro 11inch 256GB بمعالج M5 متوفر ادى سبيد سيل,699.0,Apple,ايباد برو,256.0,11 انش,جديد,Apple-iPad,
متوف بسعر مميز ايفون 16 ي جديد ///   Iphone 16 E new,369.0,Apple,ايفون 16,128.0,أسود,جديد,Apple-iPhone-16,
متاح الآن أفضل جهاز MI 17 الجديد بمعرضنا سبيد سيل,659.0,Xiaomi,14,512.0,أخضر,جديد,Xiaomi-Other,
جديد اكتيف فقط Iphone 13-128GB متوفر لدى سبيد سيل,319.0,Apple,ايفون 13,128.0,أخضر,جديد,Apple-iPhone-13,
الرجاء قراءة الاعلان جيدا . iPhone 17 - 256GB متوفر  لدى سبيد سيل,599.0,Apple,ايفون 17,256.0,أسود,جديد,Apple-iPhone-17,
أفضل سعر سامسونج جديد Galax A36 5G 128GB & 256GB  متوفر لدى سبيد سيل,209.0,Samsung,جالاكسي A36,256.0,أبيض,جديد,Samsung-Galaxy-A36,
بافضل الاسعار فل بكج سامسونج Galaxy A56 5G  متوفر لدى سبيد سيل,259.0,Samsung,جالاكسي A56,128.0,أبيض,جديد,Samsung-Galaxy-A56,
جديد الان بسعر حرررق كفالة الوكيل اوبو رينو 15  OPPO RENO 15 5G 12RAM 512G,399.0,OPPO,رينو,512.0,أزرق,جديد,OPPO-Other,
المصداقية شعارنا جديد شاومي Redmi Note 15 Pro Plus 5G متوفر لدى سبيد سيل,339.0,Xiaomi,ريدمي نوت 14 برو بلس 5G,512.0,أسود,جديد,Xiaomi-Other,
SAMSUNG S23 ULTRA ( 512GB ) / RAM 12 Used/// سامسونج اس 23 الترا ذاكرة 512,432.0,Samsung,جالاكسي S23 الترا,512.0,أسود,مستعمل - ممتاز,Samsung-Galaxy-S23,
SAMSUNG S24 ULTRA ( 512GB ) / RAM 12 Used/// سامسونج اس 24 الترا ذاكرة 512,529.0,Samsung,جالاكسي S24 الترا,512.0,لؤلؤي,مستعمل - ممتاز,Samsung-Galaxy-S24,
SAMSUNG S22 ULTRA ( 256GB ) / RAM 12 Used/// سامسونج اس 22 الترا ذاكرة 256,319.0,Samsung,جالاكسي S22 ألترا,256.0,أسود,مستعمل - ممتاز,Samsung-Galaxy-S22,
iPhone 11 128 GB battery 88%90 لا مفتوح ولا مصلح,179.0,Apple,ايفون 11,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-11,
افضل بطارية  مع هونر Honor X9d 5G الجديد  متوفر لدى سبيد سيل,235.0,Honor,هونور X9c,256.0,خمري,جديد,Honor-Other,
العرض الأقوى Honor 600 Pro لدى العامر موبايل,539.0,Honor,,512.0,برتقالي,جديد,Honor-Other,
المصداقية شعارنا جديد شاومي Redmi Note 15Pro 5G متوفر لدى سبيد سيل,245.0,Xiaomi,ريدمي نوت 14 برو 5G,256.0,فضي,جديد,Xiaomi-Other,
اقوى الاسعار جديد فل بكج كفالة الوكيل Galaxy A26 5G متوفر لدى سبيد ستور,155.0,Samsung,جالاكسي A26,128.0,أسود,جديد,Samsung-Galaxy-A26,
شعارنا المصداقية شاومي Redmi Note 15pro 4G 256GB & 512GB متوفر لدى سبيد سيل,209.0,Xiaomi,ريدمي نوت 14 برو,256.0,أسود,جديد,Xiaomi-Other,
ايفون  سفن بلس.  ممتاز جدا جدا جدا. الجهاز خارق,65.0,Apple,ايفون 7 بلس,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-7,
متوفر الأن مستخدم ايفون 14 برو ماكس // iPhone 14 pro max 256G uesd,419.0,Apple,ايفون 14 برو ماكس,256.0,أبيض,مستعمل - ممتاز,Apple-iPhone-14,
موبايل honor 400 pro 5G جديد كفالة الوكيل الرسمي في الأردن بسعر مميز,375.0,Honor,,512.0,فضي,جديد,Honor-Other,
مستعمل بحالة الجديد ايفون 14 بلس بافضل سعر//IPHONE 14 PLUS 256GB,305.0,Apple,ايفون 14 بلس,256.0,أبيض,مستعمل - ممتاز,Apple-iPhone-14,
ايفون 14 برو ماكس 256 للبيع فقط,420.0,Apple,ايفون 12 برو ماكس,256.0,لؤلؤي,مستعمل - ممتاز,Apple-iPhone-14,
تكنو كامون 20 برو للبدل فقط على انفنكس,100.0,Tecno,كامون,256.0,أزرق,مستعمل - جيد,Tecno-Other,
ايفون 11 بروماكس,190.0,Apple,ايفون 11 برو ماكس,256.0,رمادي,مستعمل - ممتاز,Apple-iPhone-11,
iPhone 16e - 128GB - Brand New,390.0,Apple,ايفون 16e,128.0,أبيض,جديد,Apple-iPhone-16,
بسعر مميز مستخدم ايفون 13 برو // iPhone 13 pro 256G UESD,320.0,Apple,ايفون 13 برو,256.0,أزرق,مستعمل - ممتاز,Apple-iPhone-13,
جديد الان ابل ايباد 11 اي 16 بأفضل سعر//APPLE IPAD 11 (A16) 128GB NEW,245.0,Apple,ايباد برو 11,128.0,11 انش,جديد,Apple-iPhone-11,
Samsung A37 256GB جديد كفالة الوكيل الرسمي بسعر مميز,260.0,Samsung,جالاكسي A37,256.0,أزرق,جديد,Samsung-Galaxy-A37,
ايفون 13 128 جيجا جديد iphone 13 128GB الكمية محدودة كفالة ابل الرسميه لحق قبل نفاذ الكمية,219.0,Apple,ايفون 13,128.0,أزرق,جديد,Apple-iPhone-13,
HONOR 600 PRO ( 512GB ) / RAM 28 NEW /// هونور 600 برو ذاكرة 512 الرام 28 الجديد,540.0,Honor,,512.0,أسود,جديد,Honor-Other,
ايفون 17 اير 256 جيجا iphone 17 air 256GB كمية محدودة وهدية عند الشراء,549.0,Apple,ايفون 17 اير,256.0,أبيض,مستعمل - ممتاز,Apple-iPhone-17,
HONOR 600 ( 256GB ) / RAM 16 NEW /// هونور 600 ذاكرة 256 الرام 16 الجديد,312.0,Honor,,256.0,أسود,جديد,Honor-Other,
HONOR X8D ( 256GB/512GB ) / RAM 8 NEW /// جهاز هونور اكس 8 دي ذاكرة 256/512 الرام جديد,157.0,Honor,,256.0,أبيض,جديد,Honor-Other,
HONOR X9D  ( 256GB ) / RAM 16 NEW /// هونر اكس 9 دي ذاكرة 256 الرام  16 الجديد,229.0,Honor,X9b هونور,256.0,خمري,جديد,Honor-Other,
ايفون 13 برو / نسخة 128 جيجا / مدخل خط / وكالة / بطاريات 90 وفوق,315.0,Apple,ايفون 13 برو,128.0,أبيض,مستعمل - ممتاز,Apple-iPhone-13,
Samsung S26 ultra 1TB 16ram جديد بسعر مميز جدا,1080.0,Samsung,جالاكسي S26 الترا,1024.0,أسود,جديد,Samsung-Galaxy-S26,
IPHONE 16 PRO MAX ( 256GB ) USED / ايفون 16 برو ماكس ذاكره 256 مستعمل بحاله الجديد كليا,619.0,Apple,ايفون 16 برو ماكس,256.0,أسود,مستعمل - ممتاز,Apple-iPhone-16,
Iphone 17 pro max 256 / used بخط  ايفون 17 برو ماكس 256 مستعمل بحالت الوكاله   كفاله استبدال,919.0,Apple,ايفون 17 برو ماكس,256.0,أزرق,مستعمل - ممتاز,Apple-iPhone-17,
IPHONE 16 ( 128GB ) NEW / ايفون 16 ذاكره 128 جيجا الجديد,499.0,Apple,ايفون 16,128.0,أسود,جديد,Apple-iPhone-16,
IPHONE 14 PRO MAX ( 128GB ) USED / ايفون برو ماكس ذاكره128g  مستعمل بحاله الجديد,400.0,Apple,ايفون 14 برو ماكس,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-14,
IPHONE 13 PRO ( 128GB ) USED / ايفون برو ذاكره 128جيجا مستعمل بحاله الجديد,280.0,Apple,ايفون 13 برو,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-13,
IPHONE 17 PRO MAX ( 256GB ) NEW / ايفون 17 برو ماكس ذاكره 256 جيجا الجديد,939.0,Apple,ايفون 17 برو ماكس,256.0,برتقالي,جديد,Apple-iPhone-17,
SAMSUNG S25 ULTRA ( 256GB ) / 12 RAM / NEW / سامسونج اس 25 الترا ذاكره 256 جيجا الرام 12 الجديد,639.0,Samsung,جالاكسي S25 الترا,256.0,أسود,جديد,Samsung-Galaxy-S25,
IPHONE 16 PRO ( 256GB ) USED / ايفون 16 برو ذاكره 256 جيجا مستعمل بحاله الجديد,580.0,Apple,ايفون 16 برو,256.0,أسود,مستعمل - ممتاز,Apple-iPhone-16,
SAMSUNG Z FOLD 7 ( 256GB ) NEW / سامسونج زي فولد 7 متوفر جميع سعات التخزين الجديد,1099.0,Samsung,جالاكس Z فولد7,256.0,أسود,جديد,Samsung-Z,
IPHONE 14 ( 128GB ) NEW / ايفون 14 ذاكره 128 جيجا الجديد كليا,399.0,Apple,ايفون 14,128.0,أسود,جديد,Apple-iPhone-14,
IPHONE 16 PLUS ( 256GB ) NEW / ايفون 16 بلس ذاكره 256 جيجا الجديد,649.0,Apple,ايفون 16 بلس,256.0,أسود,جديد,Apple-iPhone-16,
IPHONE 16 PRO MAX ( 256GB ) NEW / ايفون 16 برو ماكس ذاكره 256 جيجا الجديد,816.0,Apple,ايفون 16 برو ماكس,256.0,أسود,جديد,Apple-iPhone-16,
SAMSUNG A36 AVAILABLE (128GB ) NEW / سامسونج اي 36 متوفر جميع الذواكر جديد,209.0,Samsung,جالاكسي A36,128.0,أسود,جديد,Samsung-Galaxy-A36,
IPHONE 16 PLUS ( 128GB ) NEW / ايفون 16 بلس ذاكره 128 جيجا الجديد,590.0,Apple,ايفون 16 بلس,128.0,أسود,جديد,Apple-iPhone-16,
IPHONE 17 PRO ( 512GB ) NEW / ايفون 17 برو ذاكره 512 جيجا الجديد,999.0,Apple,ايفون 17 برو,512.0,برتقالي,جديد,Apple-iPhone-17,
IPHONE 15 ( 256GB ) NEW / ايفون 15  ذاكه 256 جيجا الجديد,519.0,Apple,ايفون 15,256.0,أسود,جديد,Apple-iPhone-15,
IPHONE 17 PRO ( 256GB ) NEW / ايفون 17 برو ذاكره 256 جيجا الجديد,849.0,Apple,ايفون 17 برو,256.0,برتقالي,جديد,Apple-iPhone-17,
IPHONE 16 ( 256GB ) NEW / ايفون 16 ذاكره 256 جيجا الجديد,559.0,Apple,ايفون 16,256.0,أسود,جديد,Apple-iPhone-16,
IPHONE 17 PRO MAX ( 512GB ) NEW / ايفون 17 برو ماكس ذاكره 512 جيجا الجديد,1070.0,Apple,ايفون 17 برو ماكس,512.0,برتقالي,جديد,Apple-iPhone-17,
IPAD AIR 7 ( M3 ) AVAILABLE 128GB NEW / ايباد اير 7 متوفر ذاكره 128 جيجا,399.0,Apple,,128.0,11 انش,جديد,Apple-iPad,
هاتف هونور جديد بذاكرة 256 جيجابايت ولون أزرق 6 Ram,65.0,Honor,,256.0,تركواز,جديد,Honor-Other,
HUAWEI PURA 80( 256GB ) / RAM 12 NEW /// هواوي بيورا 80 ذاكرة 256 الرام 12 الجديد,439.0,Huawei,بيورا 80,256.0,أبيض,جديد,Huawei-Other,
IPHONE 13 ( 128GB ) JUST ACTIVE/// آيفون 13 ذاكرة 128 بطارية 100,299.0,Apple,ايفون 13,128.0,أبيض,مستعمل - ممتاز,Apple-iPhone-13,
Samsung S26 ultra 512GB جديد بسعر مميز جدا,850.0,Samsung,جالاكسي S26 الترا,512.0,أسود,جديد,Samsung-Galaxy-S26,
HONOR 600 LITE ( 256GB ) / RAM 16 NEW /// هونور 600 لايت ذاكرة 256 الرام 16 الجديد,212.0,Honor,,256.0,أسود,جديد,Honor-Other,
ايفون 14 برو / مدخل خط / شرق أوسط / نسخة 128 جيجا,380.0,Apple,ايفون 14 برو,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-14,
متوفر بسعر مميز هونور 600  جديد /// Honor 600 256G new,315.0,Honor,,256.0,برتقالي,جديد,Honor-Other,
Samsung Z fold 7 /512GB/ سامسونج زي فولد 7 الجديد بكفالة الوكل لمدة 12 شهر,1190.0,Samsung,جالاكس Z فولد7,512.0,أسود,جديد,Samsung-Z,
HONOR X9D ( 256GB ) / RAM 12 NEW /// هونور اكس 9 دي ذاكرة 256 الرام 12 الجديد,248.0,Honor,,256.0,أسود,جديد,Honor-Other,
مستعمل بحالة الوكالة ايفون 13 برو بافضل سعر//IPHONE 13 PRO USED,279.0,Apple,ايفون 13 برو,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-13,
Samsung Z fold 7 256GB جديد مسكر وارد الشرق الأوسط بسعر مميز جدا,980.0,Samsung,جالاكس Z فولد7,256.0,أزرق,جديد,Samsung-Z,
ايفون 12 بحالة الوكالة / نسخة 256 جيجا / بطاريات عالية / اجهزة مكفولة,240.0,Apple,ايفون 12 برو,256.0,أحمر,مستعمل - ممتاز,Apple-iPhone-12,
ايفون 17 256 جيجا iphone 17 256GB عرض ما صار ولا ب الاحلام لا يتكرر العرض لحق قبل نفاذ الكيمة,539.0,Apple,ايفون 17,256.0,أبيض,جديد,Apple-iPhone-17,
ايفون 13 نسخة 256 جيجا / شرق أوسط / مش مفتوح ولا مصلح / بطاريات بال 90,285.0,Apple,ايفون 13,256.0,أحمر,مستعمل - ممتاز,Apple-iPhone-13,
